Simulation #5, Parameters: eta = 0.824178 | rho = 0.203223 | v0 = 0.0105289s
Step 433000 | Order = 0.0091821257418139516 | Time = 108s
Step 434000 | Order = 0.0086232619595878416 | Time = 108s
Step 435000 | Order = 0.020795191430404047 | Time = 108s
Step 436000 | Order = 0.0024909013962640249 | Time = 108s
Step 437000 | Order = 0.035042736113591988 | Time = 109s
Step 438000 | Order = 0.0045364425443157001 | Time = 109s
Step 439000 | Order = 0.01220729708401194 | Time = 109s
Step 440000 | Order = 0.0044862854172785915 | Time = 109s
Step 441000 | Order = 0.0059480953691952165 | Time = 110s
Step 442000 | Order = 0.01556527289700029 | Time = 110s
Step 443000 | Order = 0.013245021974631951 | Time = 110s
Step 444000 | Order = 0.0021550223473487816 | Time = 110s
Step 445000 | Order = 0.010262860158846757 | Time = 110s
Step 446000 | Order = 0.014659935062765268 | Time = 111s
Step 447000 | Order = 0.010864874865150857 | Time = 111s
Step 448000 | Order = 0.0027862328330931193 | Time = 111s
Step 449000 | Order = 0.010362415788632229 | Time = 111s
Step 450000 | Order = 0.030592952817191803 | Time = 112s
Step 451000 | Order = 0.0022488210884044225 | Time = 114s
Step 452000 | Order = 0.017784506320190494 | Time = 114s
Step 453000 | Order = 0.0081991729827786148 | Time = 114s
Step 454000 | Order = 0.018299745887321205 | Time = 114s
Step 455000 | Order = 0.021167772614735632 | Time = 115s
Step 456000 | Order = 0.020568665947107722 | Time = 115s
Step 457000 | Order = 0.0066269504516228263 | Time = 115s
Step 458000 | Order = 0.011041742753311812 | Time = 115s
Step 459000 | Order = 0.0055019264841168099 | Time = 116s
Step 460000 | Order = 0.016799197276291866 | Time = 116s
Step 461000 | Order = 0.020934734385880404 | Time = 116s
Step 462000 | Order = 0.0057759077132292893 | Time = 116s
Step 463000 | Order = 0.0056663391369371893 | Time = 116s
Step 464000 | Order = 0.01499099612502725 | Time = 117s
Step 465000 | Order = 0.018754338735613975 | Time = 117s
Step 466000 | Order = 0.02550301402006486 | Time = 117s
Step 467000 | Order = 0.0084526308241437489 | Time = 117s
Step 468000 | Order = 0.01677913989579902 | Time = 118s
Step 469000 | Order = 0.01814255584083856 | Time = 118s
Step 470000 | Order = 0.01951959728457479 | Time = 118s
Step 471000 | Order = 0.02019756086209017 | Time = 119s
Step 472000 | Order = 0.010473601268368321 | Time = 119s
Step 473000 | Order = 0.012495572294762688 | Time = 119s
Step 474000 | Order = 0.012133299295372144 | Time = 119s
Step 475000 | Order = 0.022944472712226997 | Time = 119s
Step 476000 | Order = 0.0095431551953550405 | Time = 120s
Step 477000 | Order = 0.0078756650450878419 | Time = 120s
Step 478000 | Order = 0.010753510766417854 | Time = 120s
Step 479000 | Order = 0.032469683899087561 | Time = 120s
Step 480000 | Order = 0.014413536020832483 | Time = 121s
Step 481000 | Order = 0.024639143495700132 | Time = 121s
Step 482000 | Order = 0.018464092515080785 | Time = 121s
