Simulation #55, Parameters: eta = 0.160282 | rho = 0.207730 | v0 = 0.449991s
Step 435000 | Order = 0.62659706326193043 | Time = 131s
Step 436000 | Order = 0.66258350787328768 | Time = 131s
Step 437000 | Order = 0.59577610442276918 | Time = 131s
Step 438000 | Order = 0.66018497177177671 | Time = 132s
Step 439000 | Order = 0.65566936362000472 | Time = 132s
Step 440000 | Order = 0.57323010023456789 | Time = 132s
Step 441000 | Order = 0.61197618041080126 | Time = 133s
Step 442000 | Order = 0.59821450592418257 | Time = 133s
Step 443000 | Order = 0.60460104163281914 | Time = 133s
Step 444000 | Order = 0.71126340458726078 | Time = 134s
Step 445000 | Order = 0.63847388988685239 | Time = 134s
Step 446000 | Order = 0.60023361930601604 | Time = 134s
Step 447000 | Order = 0.53027882193302345 | Time = 134s
Step 448000 | Order = 0.58350751277202406 | Time = 135s
Step 449000 | Order = 0.61292045017919206 | Time = 135s
Step 450000 | Order = 0.66877325493440276 | Time = 135s
Step 451000 | Order = 0.61251343766560218 | Time = 136s
Step 452000 | Order = 0.56836859202803647 | Time = 136s
Step 453000 | Order = 0.67176205015968882 | Time = 136s
Step 454000 | Order = 0.65177079988805597 | Time = 137s
Step 455000 | Order = 0.58381640381082456 | Time = 137s
Step 456000 | Order = 0.64333133272918286 | Time = 137s
Step 457000 | Order = 0.55598091315996889 | Time = 137s
Step 458000 | Order = 0.62385176318833857 | Time = 138s
Step 459000 | Order = 0.6018946418105634 | Time = 138s
Step 460000 | Order = 0.68506821289605857 | Time = 138s
Step 461000 | Order = 0.62832471659950784 | Time = 139s
Step 462000 | Order = 0.68779945209191873 | Time = 139s
Step 463000 | Order = 0.63424768642906304 | Time = 139s
Step 464000 | Order = 0.66850544847832727 | Time = 140s
Step 465000 | Order = 0.65223428153238661 | Time = 140s
Step 466000 | Order = 0.6861214725522693 | Time = 140s
Step 467000 | Order = 0.66009367384221052 | Time = 141s
Step 468000 | Order = 0.63704601171835606 | Time = 141s
Step 469000 | Order = 0.62498405043648009 | Time = 141s
Step 470000 | Order = 0.62659806351969938 | Time = 141s
Step 471000 | Order = 0.6551253801471657 | Time = 142s
Step 472000 | Order = 0.67858252442071265 | Time = 142s
Step 473000 | Order = 0.63943766571589566 | Time = 142s
Step 474000 | Order = 0.61145293881082219 | Time = 143s
Step 475000 | Order = 0.61189664638450025 | Time = 143s
Step 476000 | Order = 0.60550632124347836 | Time = 143s
